table_name,constraint_name,check_clause
activity_logs,57563_58594_5_not_null,action_type IS NOT NULL
activity_logs,57563_58594_1_not_null,id IS NOT NULL
activity_logs,57563_58594_2_not_null,organization_id IS NOT NULL
activity_logs,57563_58594_6_not_null,action_description IS NOT NULL
ai_voice_notes,57563_58252_2_not_null,organization_id IS NOT NULL
ai_voice_notes,57563_58252_1_not_null,id IS NOT NULL
ai_voice_notes,57563_58252_8_not_null,urgency_level IS NOT NULL
ai_voice_notes,57563_58252_4_not_null,recorded_by_user_id IS NOT NULL
ai_voice_notes,57563_58252_3_not_null,member_id IS NOT NULL
branches,57563_57884_2_not_null,organization_id IS NOT NULL
branches,57563_57884_3_not_null,name IS NOT NULL
branches,57563_57884_4_not_null,location IS NOT NULL
branches,57563_57884_1_not_null,id IS NOT NULL
custom_fields,57563_58540_1_not_null,id IS NOT NULL
custom_fields,57563_58540_6_not_null,applies_to IS NOT NULL
custom_fields,57563_58540_5_not_null,field_type IS NOT NULL
custom_fields,57563_58540_4_not_null,field_key IS NOT NULL
custom_fields,57563_58540_3_not_null,field_name IS NOT NULL
custom_fields,57563_58540_2_not_null,organization_id IS NOT NULL
event_attendance,57563_58218_2_not_null,event_id IS NOT NULL
event_attendance,57563_58218_1_not_null,id IS NOT NULL
event_attendance,57563_58218_3_not_null,member_id IS NOT NULL
event_attendance,57563_58218_6_not_null,attendance_status IS NOT NULL
event_types,57563_58152_3_not_null,name IS NOT NULL
event_types,57563_58152_5_not_null,color IS NOT NULL
event_types,57563_58152_1_not_null,id IS NOT NULL
events,57563_58169_2_not_null,organization_id IS NOT NULL
events,57563_58169_1_not_null,id IS NOT NULL
events,57563_58169_12_not_null,created_by_user_id IS NOT NULL
events,57563_58169_8_not_null,start_time IS NOT NULL
events,57563_58169_7_not_null,date IS NOT NULL
events,57563_58169_4_not_null,title IS NOT NULL
events,57563_58169_3_not_null,branch_id IS NOT NULL
family_groups,57563_58014_6_not_null,address IS NOT NULL
family_groups,57563_58014_7_not_null,phone_number IS NOT NULL
family_groups,57563_58014_9_not_null,joined_date IS NOT NULL
family_groups,57563_58014_1_not_null,id IS NOT NULL
family_groups,57563_58014_2_not_null,organization_id IS NOT NULL
family_groups,57563_58014_3_not_null,family_name IS NOT NULL
family_groups,57563_58014_5_not_null,branch_id IS NOT NULL
group_members,57563_58127_10_not_null,branch_id IS NOT NULL
group_members,57563_58127_3_not_null,member_id IS NOT NULL
group_members,57563_58127_2_not_null,group_id IS NOT NULL
group_members,57563_58127_4_not_null,joined_date IS NOT NULL
group_members,57563_58127_1_not_null,id IS NOT NULL
groups,57563_58087_2_not_null,organization_id IS NOT NULL
groups,57563_58087_3_not_null,branch_id IS NOT NULL
groups,57563_58087_4_not_null,name IS NOT NULL
groups,57563_58087_5_not_null,type IS NOT NULL
groups,57563_58087_6_not_null,tag IS NOT NULL
groups,57563_58087_1_not_null,id IS NOT NULL
join_requests,57563_58563_2_not_null,group_id IS NOT NULL
join_requests,57563_58563_1_not_null,id IS NOT NULL
join_requests,57563_58563_3_not_null,member_id IS NOT NULL
kv_store_eb3d1645,57563_58699_2_not_null,value IS NOT NULL
kv_store_eb3d1645,57563_58699_1_not_null,key IS NOT NULL
member_notes,note_has_content,((content IS NOT NULL) OR (audio_url IS NOT NULL))
member_notes,57563_58290_1_not_null,id IS NOT NULL
member_notes,57563_58290_2_not_null,organization_id IS NOT NULL
member_notes,57563_58290_3_not_null,member_id IS NOT NULL
member_notes,57563_58290_4_not_null,created_by_user_id IS NOT NULL
member_registration_links,57563_58461_5_not_null,unique_code IS NOT NULL
member_registration_links,57563_58461_2_not_null,organization_id IS NOT NULL
member_registration_links,57563_58461_1_not_null,id IS NOT NULL
member_registration_links,57563_58461_8_not_null,created_by_user_id IS NOT NULL
member_registration_links,57563_58461_6_not_null,registration_url IS NOT NULL
member_registration_requests,57563_58499_6_not_null,phone_number IS NOT NULL
member_registration_requests,57563_58499_2_not_null,organization_id IS NOT NULL
member_registration_requests,57563_58499_1_not_null,id IS NOT NULL
member_registration_requests,57563_58499_4_not_null,full_name IS NOT NULL
members,57563_58040_23_not_null,join_date IS NOT NULL
members,57563_58040_25_not_null,membership_status IS NOT NULL
members,57563_58040_1_not_null,id IS NOT NULL
members,57563_58040_14_not_null,branch_id IS NOT NULL
members,57563_58040_2_not_null,organization_id IS NOT NULL
members,57563_58040_35_not_null,first_name IS NOT NULL
members,57563_58040_36_not_null,last_name IS NOT NULL
members,57563_58040_7_not_null,phone_number IS NOT NULL
message_recipients,57563_58370_1_not_null,id IS NOT NULL
message_recipients,57563_58370_2_not_null,message_id IS NOT NULL
message_recipients,57563_58370_3_not_null,member_id IS NOT NULL
messages,57563_58328_4_not_null,subject IS NOT NULL
messages,57563_58328_5_not_null,content IS NOT NULL
messages,57563_58328_1_not_null,id IS NOT NULL
messages,57563_58328_7_not_null,target_type IS NOT NULL
messages,57563_58328_6_not_null,message_type IS NOT NULL
messages,57563_58328_2_not_null,organization_id IS NOT NULL
messages,57563_58328_3_not_null,sent_by_user_id IS NOT NULL
notifications,57563_58397_2_not_null,organization_id IS NOT NULL
notifications,57563_58397_1_not_null,id IS NOT NULL
notifications,57563_58397_3_not_null,user_id IS NOT NULL
notifications,57563_58397_4_not_null,title IS NOT NULL
notifications,57563_58397_5_not_null,message IS NOT NULL
notifications,57563_58397_6_not_null,type IS NOT NULL
organizations,57563_57858_5_not_null,primary_contact_name IS NOT NULL
organizations,57563_57858_7_not_null,primary_contact_phone IS NOT NULL
organizations,57563_57858_13_not_null,subscription_plan IS NOT NULL
organizations,57563_57858_14_not_null,subscription_status IS NOT NULL
organizations,57563_57858_1_not_null,id IS NOT NULL
organizations,57563_57858_2_not_null,name IS NOT NULL
organizations,57563_57858_3_not_null,slug IS NOT NULL
organizations,57563_57858_6_not_null,primary_contact_email IS NOT NULL
password_reset_tokens,57563_57995_1_not_null,id IS NOT NULL
password_reset_tokens,57563_57995_4_not_null,expires_at IS NOT NULL
password_reset_tokens,57563_57995_3_not_null,token IS NOT NULL
password_reset_tokens,57563_57995_2_not_null,user_id IS NOT NULL
permissions,57563_58423_1_not_null,id IS NOT NULL
permissions,57563_58423_2_not_null,name IS NOT NULL
permissions,57563_58423_5_not_null,category IS NOT NULL
permissions,57563_58423_3_not_null,slug IS NOT NULL
role_permissions,57563_58438_1_not_null,id IS NOT NULL
role_permissions,57563_58438_3_not_null,permission_id IS NOT NULL
role_permissions,57563_58438_2_not_null,role_id IS NOT NULL
roles,57563_57904_4_not_null,slug IS NOT NULL
roles,57563_57904_1_not_null,id IS NOT NULL
roles,57563_57904_3_not_null,name IS NOT NULL
subscription_plans,57563_58624_7_not_null,max_members IS NOT NULL
subscription_plans,57563_58624_9_not_null,max_groups IS NOT NULL
subscription_plans,57563_58624_10_not_null,max_storage_gb IS NOT NULL
subscription_plans,57563_58624_1_not_null,id IS NOT NULL
subscription_plans,57563_58624_2_not_null,plan_name IS NOT NULL
subscription_plans,57563_58624_3_not_null,plan_slug IS NOT NULL
subscription_plans,57563_58624_5_not_null,price_monthly IS NOT NULL
subscription_plans,57563_58624_6_not_null,price_yearly IS NOT NULL
subscription_plans,57563_58624_8_not_null,max_branches IS NOT NULL
user_sessions,57563_57966_15_not_null,expires_at IS NOT NULL
user_sessions,57563_57966_3_not_null,organization_id IS NOT NULL
user_sessions,57563_57966_2_not_null,user_id IS NOT NULL
user_sessions,57563_57966_1_not_null,id IS NOT NULL
user_sessions,57563_57966_4_not_null,session_token IS NOT NULL
users,57563_57926_21_not_null,last_name IS NOT NULL
users,57563_57926_2_not_null,organization_id IS NOT NULL
users,57563_57926_4_not_null,email IS NOT NULL
users,57563_57926_1_not_null,id IS NOT NULL
users,57563_57926_20_not_null,first_name IS NOT NULL